Last Name,First Name,Team,SPG
Martin,Paul,S.J,61728.40
Little,Bryan,WPG,84745.76
Subban,P.K.,NSH,166666.67
Graovac,Tyler,MIN,11538.46
Johnson,Erik,COL,130434.78
Nestrasil,Andrej,CAR,50000.00
Etem,Emerson,ANA,258333.33
Baertschi,Sven,VAN,25000.00
Miller,Drew,DET,18636.36
Ritchie,Nick,ANA,12012.99
Koivu,Mikko,MIN,67500.00
Kesler,Ryan,ANA,96036.59
Czarnik,Austin,BOS,17193.88
Hudler,Jiri,DAL,62500.00
Orlov,Dmitry,WSH,31341.46
Bass,Cody,NSH,63888.89
Grigorenko,Mikhail,COL,17333.33
Turris,Kyle,OTT,51282.05
Werenski,Zach,CBJ,11858.97
McNeill,Mark,DAL,600000.00
Voracek,Jakub,PHI,121951.22
Carlsson,Gabriel,CBJ,462500.00
Stajan,Matt,CGY,37037.04
Shinkaruk,Hunter,CGY,118928.57
Molino,Griffen,VAN,185000.00
Nash,Riley,BOS,11111.11
van Riemsdyk,Trevor,CHI,12931.03
Burakovsky,Andre,WSH,13007.81
Kapla,Michael,N.J,185000.00
McLeod,Cody,COL/NSH,21186.44
Wotherspoon,Tyler,CGY,156250.00
Kelly,Chris,OTT,10975.61
McDonagh,Ryan,NYR,64935.06
Palmieri,Kyle,N.J,56250.00
de Haan,Calvin,NYI,35365.85
Thompson,Paul,FLA,27380.95
Mitchell,Zack,MIN,58181.82
Chara,Zdeno,BOS,66666.67
Hartnell,Scott,CBJ,64102.56
Stollery,Karl,N.J,52272.73
Cogliano,Andrew,ANA,37804.88
Lucic,Milan,EDM,97560.98
Couture,Logan,S.J,82191.78
Aho,Sebastian,CAR,11280.49
Niederreiter,Nino,MIN,42682.93
Bournival,Michael,T.B,30263.16
Kane,Evander,BUF,85714.29
Lindholm,Hampus,ANA,45454.55
Nesterov,Nikita,MTL/T.B,15104.17
Bertuzzi,Tyler,DET,95357.14
Spurgeon,Jared,MIN,55921.05
Sedlak,Lukas,CBJ,9677.42
Caggiula,Drake,EDM,15416.67
Ott,Steve,DET/MTL,15094.34
Ovechkin,Alex,WSH,121951.22
O'Reilly,Cal,BUF,63636.36
Helm,Darren,DET,100000.00
Cousins,Nick,PHI,14000.00
Hunt,Brad,NSH/STL,50000.00
Gostisbehere,Shayne,PHI,12171.05
Shaw,Logan,ANA,12000.00
Sheahan,Riley,DET,25937.50
Stastny,Paul,STL,106060.61
Wheeler,Blake,WPG,70731.71
Girgensons,Zemgus,BUF,15333.33
Larkin,Dylan,DET,11562.50
Ladue,Paul,L.A,42045.45
Kronwall,Niklas,DET,96491.23
Hertl,Tomas,S.J,57142.86
Stafford,Drew,BOS/WPG,75000.00
McCoshen,Ian,FLA,308333.33
Ward,Joel,S.J,41987.18
Stewart,Chris,MIN,15189.87
MacKenzie,Derek,FLA,15853.66
Marchenko,Alexey,DET/TOR,31707.32
Bourque,Rene,COL,10000.00
Scheifele,Mark,WPG,63291.14
Coleman,Blake,N.J,30108.70
Mueller,Mirco,S.J,208125.00
Chorney,Taylor,WSH,43055.56
Hedman,Victor,T.B,53797.47
Santini,Steven,N.J,24342.11
Kerdiles,Nicolas,ANA,925000.00
Glass,Tanner,NYR,90909.09
Renouf,Dan,DET,692500.00
Miller,Colin,BOS,14754.10
Leivo,Josh,TOR,44230.77
Guentzel,Jake,PIT,16687.50
DeKeyser,Danny,DET,48780.49
Rattie,Ty,CAR/STL,72222.22
Petrovic,Alex,FLA,24489.80
Gravel,Kevin,L.A,13622.45
Guhle,Brendan,BUF,222500.00
Keith,Duncan,CHI,75000.00
Fiala,Kevin,NSH,17129.63
Ryan,Derek,CAR,8955.22
Pyatt,Tom,OTT,9756.10
Gallagher,Brendan,MTL,70312.50
Motte,Tyler,CHI,28030.30
Keller,Clayton,ARI,300000.00
Tennyson,Matt,CAR,15000.00
Skinner,Jeff,CAR,75949.37
Street,Ben,DET,100000.00
Korpikoski,Lauri,CBJ/DAL,14492.75
Streit,Mark,PHI/PIT,58823.53
O'Regan,Daniel,S.J,264166.67
Jarnkrok,Calle,NSH,20987.65
Strait,Brian,WPG,120000.00
Fowler,Cam,ANA,50000.00
Hagelin,Carl,PIT,60114.75
Drouin,Jonathan,T.B,11404.11
Klefbom,Oscar,EDM,36585.37
Jones,Seth,CBJ,72000.00
Kreider,Chris,NYR,66666.67
Gelinas,Eric,COL,61111.11
Pesce,Brett,CAR,9664.63
Malone,Sean,BUF,925000.00
Desharnais,David,EDM/MTL,71428.57
Wilson,Colin,NSH,57142.86
Hayes,Kevin,NYR,34210.53
Hanzal,Martin,ARI/MIN,49295.77
Deangelo,Anthony,ARI,23717.95
Richard,Tanner,T.B,191666.67
Rust,Bryan,PIT,10877.19
Miller,Kevan,BOS,43103.45
Hoffman,Mike,OTT,51351.35
Auvitu,Yohann,N.J,31700.00
Didomenico,Chris,OTT,191666.67
Sissons,Colton,NSH,9913.79
Barbashev,Ivan,STL,24750.00
Benn,Jamie,DAL,74675.32
Kearns,Bracken,NYI,400000.00
Pietila,Blake,N.J,67500.00
Gardiner,Jake,TOR,49390.24
Soshnikov,Nikita,TOR,13258.93
McEneny,Evan,VAN,575000.00
Wingels,Tommy,OTT/S.J,35616.44
Morrow,Joe,BOS,47058.82
Koekkoek,Slater,T.B,28706.90
Puljujarvi,Jesse,EDM,33035.71
Lehtera,Jori,STL,68750.00
Murphy,Connor,ARI,31168.83
Moulson,Matt,BUF,61728.40
Ellis,Ryan,NSH,35211.27
Terry,Chris,MTL,42857.14
Jooris,Josh,ARI/NYR,11111.11
Fiddler,Vernon,N.J/NSH,21186.44
Dickinson,Jason,DAL,92500.00
Vermette,Antoine,ANA,24305.56
Redmond,Zach,MTL,35937.50
Garbutt,Ryan,ANA,74074.07
Johns,Stephen,DAL,10655.74
Martin,Matt,TOR,42682.93
Lewis,Trevor,L.A,24390.24
Hunwick,Matt,TOR,16666.67
Kunitz,Chris,PIT,50000.00
Laughton,Scott,PHI,416250.00
Heinen,Danton,BOS,95937.50
Ritchie,Brett,DAL,11217.95
Johansen,Ryan,NSH,73170.73
Thornton,Joe,S.J,85443.04
Dvorak,Christian,ARI,10160.26
Daley,Trevor,PIT,48214.29
Watson,Austin,NSH,7467.53
MacDonald,Andrew,PHI,65068.49
Bitetto,Anthony,NSH,19827.59
Porter,Kevin,PIT,287500.00
Gauthier,Frederik,TOR,39642.86
Seguin,Tyler,DAL,73170.73
Murray,Ryan,CBJ,47083.33
Sbisa,Luca,VAN,43902.44
Hanley,Joel,MTL,85714.29
Rozsival,Michal,CHI,27272.73
Boychuk,Johnny,NYI,106060.61
Gaudet,Tyler,ARI,218531.25
Nolan,Jordan,L.A,21739.13
Eichel,Jack,BUF,15163.93
Borowiecki,Mark,OTT,15714.29
Strome,Dylan,ARI,132142.86
Cracknell,Adam,DAL,8695.65
Muzzin,Jake,L.A,48780.49
Winnik,Daniel,WSH,25000.00
Frk,Martin,CAR,325000.00
Hjalmarsson,Niklas,CHI,56164.38
Nieves,Cristoval,NYR,742500.00
Kassian,Zack,EDM,18987.34
Markov,Andrei,MTL,68548.39
Horvat,Bo,VAN,10277.78
Carey,Paul,WSH,95833.33
Schneider,Cole,BUF,150000.00
Megna,Jaycob,ANA,925000.00
Greer,A.J.,COL,145000.00
Hemsky,Ales,DAL,266666.67
Harper,Shane,FLA,46428.57
Lindbohm,Petteri,STL,92142.86
McIlrath,Dylan,FLA/NYR,133333.33
Barkov,Aleksander,FLA,73770.49
Bozak,Tyler,TOR,57692.31
